f0_,station,f1_,f2_
2020-02-28,FOXNEWS,81,vaccine
2020-02-28,MSNBC,56,vaccine
2020-02-29,FOXNEWS,79,vaccine
2020-02-29,MSNBC,107,vaccine
2020-02-29,CNN,470,vaccine
2020-02-29,BBCNEWS,5,vaccine
2020-03-01,MSNBC,80,vaccine
2020-03-01,FOXNEWS,210,vaccine
2020-03-02,FOXNEWS,631,vaccine
2020-03-02,KGO,34,vaccine
2020-03-02,CNN,557,vaccine
2020-03-02,MSNBC,471,vaccine
2020-03-03,KPIX,13,vaccine
2020-03-03,MSNBC,728,vaccine
2020-03-03,FOXNEWS,325,vaccine
2020-03-03,KGO,27,vaccine
2020-03-03,CNN,826,vaccine
2020-03-04,BBCNEWS,11,vaccine
2020-03-04,CNN,81,vaccine
2020-03-04,FOXNEWS,425,vaccine
2020-03-05,KPIX,2,vaccine
2020-03-05,FOXNEWS,68,vaccine
2020-03-05,BBCNEWS,76,vaccine
2020-03-05,MSNBC,728,vaccine
2020-03-05,CNN,445,vaccine
2020-03-06,MSNBC,25,vaccine
2020-03-06,CNN,161,vaccine
2020-03-06,FOXNEWS,95,vaccine
2020-03-06,BBCNEWS,322,vaccine
2020-03-07,BBCNEWS,555,vaccine
2020-03-07,MSNBC,86,vaccine
2020-03-07,FOXNEWS,155,vaccine
2020-03-07,CNN,195,vaccine
2020-03-08,MSNBC,125,vaccine
2020-03-08,KNTV,11,vaccine
2020-03-08,FOXNEWS,584,vaccine
2020-03-08,CNN,1,vaccine
2020-03-08,BBCNEWS,12,vaccine
2020-03-09,KNTV,2,vaccine
2020-03-09,FOXNEWS,445,vaccine
2020-03-09,BBCNEWS,252,vaccine
2020-03-09,CNN,243,vaccine
2020-03-09,MSNBC,56,vaccine
2020-03-10,FOXNEWS,28,vaccine
2020-03-10,MSNBC,63,vaccine
2020-03-11,KNTV,10,vaccine
2020-03-11,FOXNEWS,707,vaccine
2020-03-12,BBCNEWS,2,vaccine
2020-03-12,FOXNEWS,249,vaccine
2020-03-12,MSNBC,453,vaccine
2020-03-12,CNN,475,vaccine
2020-03-13,CNN,117,vaccine
2020-03-13,FOXNEWS,36,vaccine
2020-03-13,BBCNEWS,31,vaccine
2020-03-13,KPIX,3,vaccine
2020-03-14,CNN,299,vaccine
2020-03-14,BBCNEWS,19,vaccine
2020-03-14,FOXNEWS,43,vaccine
2020-03-15,CNN,114,vaccine
2020-03-15,FOXNEWS,363,vaccine
2020-03-15,MSNBC,17,vaccine
2020-03-15,BBCNEWS,11,vaccine
2020-03-16,CNN,539,vaccine
2020-03-16,KPIX,1,vaccine
