f0_,station,f1_,f2_
2020-03-18,KPIX,116,lockdown
2020-03-18,MSNBC,535,lockdown
2020-03-18,KNTV,46,lockdown
2020-03-18,CNN,208,lockdown
2020-03-18,KGO,3,lockdown
2020-03-18,FOXNEWS,578,lockdown
2020-03-19,BBCNEWS,189,lockdown
2020-03-19,FOXNEWS,653,lockdown
2020-03-19,CNN,710,lockdown
2020-03-19,MSNBC,407,lockdown
2020-03-20,BBCNEWS,2412,lockdown
2020-03-20,CNN,4678,lockdown
2020-03-20,MSNBC,1186,lockdown
2020-03-20,FOXNEWS,1252,lockdown
2020-03-21,CNN,778,lockdown
2020-03-21,FOXNEWS,846,lockdown
2020-03-21,KNTV,15,lockdown
2020-03-21,KPIX,226,lockdown
2020-03-21,BBCNEWS,252,lockdown
2020-03-21,MSNBC,1069,lockdown
2020-03-22,FOXNEWS,510,lockdown
2020-03-22,BBCNEWS,1002,lockdown
2020-03-22,CNN,993,lockdown
2020-03-22,MSNBC,862,lockdown
2020-03-23,MSNBC,1388,lockdown
2020-03-23,BBCNEWS,460,lockdown
2020-03-23,CNN,954,lockdown
2020-03-23,FOXNEWS,1135,lockdown
2020-03-24,FOXNEWS,1090,lockdown
2020-03-24,MSNBC,2595,lockdown
2020-03-24,KPIX,152,lockdown
2020-03-24,BBCNEWS,2522,lockdown
2020-03-24,CNN,1283,lockdown
2020-03-24,KGO,86,lockdown
2020-03-25,BBCNEWS,1893,lockdown
2020-03-25,CNN,723,lockdown
2020-03-25,KNTV,19,lockdown
2020-03-25,MSNBC,1127,lockdown
2020-03-25,FOXNEWS,825,lockdown
2020-03-26,KPIX,14,lockdown
2020-03-26,CNN,85,lockdown
2020-03-26,MSNBC,231,lockdown
2020-03-26,BBCNEWS,843,lockdown
2020-03-26,FOXNEWS,892,lockdown
2020-03-27,FOXNEWS,991,lockdown
2020-03-27,BBCNEWS,719,lockdown
2020-03-27,MSNBC,994,lockdown
2020-03-27,CNN,205,lockdown
2020-03-28,FOXNEWS,568,lockdown
2020-03-28,BBCNEWS,598,lockdown
2020-03-28,MSNBC,159,lockdown
2020-03-28,CNN,919,lockdown
2020-03-28,KNTV,2,lockdown
2020-03-29,CNN,652,lockdown
2020-03-29,FOXNEWS,1090,lockdown
2020-03-29,MSNBC,544,lockdown
2020-03-29,BBCNEWS,1007,lockdown
2020-03-30,FOXNEWS,728,lockdown
2020-03-30,CNN,685,lockdown
2020-03-30,KNTV,3,lockdown
2020-03-30,MSNBC,283,lockdown
2020-03-30,BBCNEWS,659,lockdown
2020-03-31,FOXNEWS,213,lockdown
2020-03-31,KPIX,2,lockdown
2020-03-31,BBCNEWS,2302,lockdown
2020-03-31,MSNBC,249,lockdown
2020-03-31,CNN,74,lockdown
2020-04-01,CNN,297,lockdown
2020-04-01,FOXNEWS,106,lockdown
2020-04-01,MSNBC,281,lockdown
2020-04-01,BBCNEWS,383,lockdown
2020-04-02,BBCNEWS,594,lockdown
2020-04-02,KPIX,71,lockdown
2020-04-02,FOXNEWS,617,lockdown
2020-04-02,MSNBC,200,lockdown
2020-04-02,CNN,175,lockdown
2020-04-03,BBCNEWS,456,lockdown
2020-04-03,CNN,404,lockdown
2020-04-03,MSNBC,2,lockdown
2020-04-03,FOXNEWS,99,lockdown
2020-04-04,CNN,817,lockdown
2020-04-04,BBCNEWS,537,lockdown
2020-04-04,MSNBC,307,lockdown
2020-04-04,KPIX,74,lockdown
2020-04-04,FOXNEWS,1064,lockdown
2020-04-05,CNN,652,lockdown
2020-04-05,MSNBC,339,lockdown
2020-04-05,BBCNEWS,988,lockdown
2020-04-05,FOXNEWS,1290,lockdown
2020-04-06,BBCNEWS,1539,lockdown
2020-04-06,FOXNEWS,469,lockdown
2020-04-06,MSNBC,108,lockdown
2020-04-06,CNN,908,lockdown
2020-04-07,FOXNEWS,491,lockdown
2020-04-07,CNN,140,lockdown
2020-04-07,MSNBC,202,lockdown
