f0_,station,f1_,f2_
2020-03-03,MSNBC,12,delta
2020-03-03,KPIX,1,delta
2020-03-03,FOXNEWS,4,delta
2020-03-03,BBCNEWS,1,delta
2020-03-03,CNN,9,delta
2020-03-04,BBCNEWS,19,delta
2020-03-04,MSNBC,14,delta
2020-03-04,CNN,6,delta
2020-03-04,FOXNEWS,10,delta
2020-03-05,CNN,44,delta
2020-03-05,FOXNEWS,10,delta
2020-03-05,MSNBC,21,delta
2020-03-06,MSNBC,8,delta
2020-03-06,CNN,25,delta
2020-03-06,FOXNEWS,5,delta
2020-03-07,MSNBC,7,delta
2020-03-07,CNN,18,delta
2020-03-07,BBCNEWS,22,delta
2020-03-07,FOXNEWS,15,delta
2020-03-08,KNTV,2,delta
2020-03-08,MSNBC,13,delta
2020-03-08,CNN,6,delta
2020-03-08,BBCNEWS,5,delta
2020-03-09,KNTV,2,delta
2020-03-09,CNN,5,delta
2020-03-09,KGO,1,delta
2020-03-10,FOXNEWS,17,delta
2020-03-10,KGO,5,delta
2020-03-10,CNN,377,delta
2020-03-10,MSNBC,43,delta
2020-03-10,BBCNEWS,11,delta
2020-03-11,CNN,35,delta
2020-03-11,KNTV,18,delta
2020-03-11,BBCNEWS,2,delta
2020-03-11,KPIX,2,delta
2020-03-11,MSNBC,43,delta
2020-03-11,FOXNEWS,13,delta
2020-03-12,FOXNEWS,8,delta
2020-03-12,MSNBC,12,delta
2020-03-12,CNN,40,delta
2020-03-13,CNN,255,delta
2020-03-13,BBCNEWS,20,delta
2020-03-13,KNTV,2,delta
2020-03-13,KPIX,3,delta
2020-03-13,FOXNEWS,174,delta
2020-03-13,MSNBC,17,delta
2020-03-14,CNN,185,delta
2020-03-14,KNTV,1,delta
2020-03-14,MSNBC,105,delta
2020-03-14,FOXNEWS,393,delta
2020-03-15,CNN,7,delta
2020-03-15,FOXNEWS,3,delta
2020-03-15,BBCNEWS,13,delta
2020-03-15,KPIX,1,delta
2020-03-15,MSNBC,81,delta
2020-03-15,KNTV,2,delta
2020-03-16,CNN,7,delta
2020-03-16,MSNBC,27,delta
2020-03-16,KPIX,13,delta
2020-03-16,BBCNEWS,9,delta
2020-03-16,FOXNEWS,64,delta
2020-03-16,KGO,4,delta
2020-03-17,KNTV,6,delta
2020-03-17,FOXNEWS,98,delta
2020-03-17,CNN,67,delta
2020-03-17,MSNBC,5,delta
2020-03-18,BBCNEWS,7,delta
2020-03-18,CNN,15,delta
2020-03-18,FOXNEWS,7,delta
2020-03-19,BBCNEWS,15,delta
2020-03-19,CNN,2,delta
2020-03-19,MSNBC,29,delta
2020-03-19,FOXNEWS,66,delta
2020-03-20,KNTV,2,delta
2020-03-20,CNN,43,delta
2020-03-20,MSNBC,9,delta
2020-03-20,FOXNEWS,44,delta
2020-03-21,CNN,6,delta
2020-03-21,KPIX,3,delta
2020-03-21,FOXNEWS,69,delta
2020-03-21,MSNBC,6,delta
2020-03-22,FOXNEWS,19,delta
2020-03-22,MSNBC,28,delta
2020-03-22,CNN,5,delta
2020-03-23,FOXNEWS,10,delta
2020-03-23,KGO,6,delta
2020-03-23,MSNBC,8,delta
2020-03-24,KGO,2,delta
2020-03-24,FOXNEWS,108,delta
2020-03-24,MSNBC,13,delta
2020-03-25,CNN,5,delta
2020-03-25,MSNBC,20,delta
2020-03-25,FOXNEWS,24,delta
2020-03-26,MSNBC,53,delta
2020-03-26,FOXNEWS,7,delta
2020-03-27,BBCNEWS,6,delta
2020-03-27,CNN,2,delta
2020-03-28,FOXNEWS,6,delta
2020-03-28,BBCNEWS,8,delta
2020-03-28,CNN,56,delta
2020-03-28,MSNBC,19,delta
2020-03-29,CNN,22,delta
2020-03-29,KPIX,9,delta
2020-03-30,FOXNEWS,53,delta
2020-03-30,MSNBC,29,delta
2020-03-30,CNN,6,delta
2020-03-30,BBCNEWS,3,delta
2020-03-31,FOXNEWS,27,delta
2020-04-02,FOXNEWS,1,delta
2020-04-02,CNN,1,delta
