f0_,station,f1_,f2_
2020-04-09,FOXNEWS,469,Facemask
2020-04-10,BBCNEWS,532,Facemask
2020-04-10,CNN,125,Facemask
2020-04-10,FOXNEWS,49,Facemask
2020-04-10,KPIX,1,Facemask
2020-04-10,MSNBC,2,Facemask
2020-04-10,KGO,1,Facemask
2020-04-11,BBCNEWS,12,Facemask
2020-04-11,KPIX,1,Facemask
2020-04-11,CNN,75,Facemask
2020-04-11,FOXNEWS,65,Facemask
2020-04-11,MSNBC,4,Facemask
2020-04-12,MSNBC,49,Facemask
2020-04-12,CNN,231,Facemask
2020-04-12,FOXNEWS,6,Facemask
2020-04-13,KPIX,1,Facemask
2020-04-13,FOXNEWS,81,Facemask
2020-04-13,CNN,54,Facemask
2020-04-13,MSNBC,23,Facemask
2020-04-13,BBCNEWS,346,Facemask
2020-04-14,BBCNEWS,148,Facemask
2020-04-14,MSNBC,34,Facemask
2020-04-14,FOXNEWS,6,Facemask
2020-04-15,MSNBC,30,Facemask
2020-04-15,BBCNEWS,22,Facemask
2020-04-16,CNN,357,Facemask
2020-04-16,FOXNEWS,189,Facemask
2020-04-16,MSNBC,41,Facemask
2020-04-16,BBCNEWS,15,Facemask
2020-04-17,CNN,1,Facemask
2020-04-17,FOXNEWS,52,Facemask
2020-04-17,BBCNEWS,1860,Facemask
2020-04-17,KGO,4,Facemask
2020-04-17,KNTV,4,Facemask
2020-04-18,CNN,586,Facemask
2020-04-18,MSNBC,101,Facemask
2020-04-18,FOXNEWS,119,Facemask
2020-04-18,KPIX,4,Facemask
2020-04-18,BBCNEWS,6,Facemask
2020-04-19,BBCNEWS,63,Facemask
2020-04-19,MSNBC,300,Facemask
2020-04-19,CNN,48,Facemask
2020-04-19,KGO,11,Facemask
2020-04-20,FOXNEWS,5,Facemask
2020-04-20,BBCNEWS,13,Facemask
2020-04-20,MSNBC,26,Facemask
2020-04-21,BBCNEWS,1273,Facemask
2020-04-21,FOXNEWS,57,Facemask
2020-04-22,MSNBC,205,Facemask
2020-04-22,BBCNEWS,97,Facemask
2020-04-22,FOXNEWS,13,Facemask
2020-04-22,CNN,350,Facemask
2020-04-23,CNN,14,Facemask
2020-04-23,BBCNEWS,2646,Facemask
2020-04-23,MSNBC,2,Facemask
2020-04-24,CNN,61,Facemask
2020-04-24,FOXNEWS,3,Facemask
2020-04-24,BBCNEWS,3,Facemask
2020-04-25,FOXNEWS,90,Facemask
2020-04-25,BBCNEWS,115,Facemask
2020-04-25,MSNBC,8,Facemask
2020-04-25,CNN,35,Facemask
2020-04-26,FOXNEWS,172,Facemask
2020-04-26,BBCNEWS,46,Facemask
2020-04-26,CNN,30,Facemask
2020-04-27,FOXNEWS,57,Facemask
2020-04-27,BBCNEWS,45,Facemask
2020-04-27,CNN,89,Facemask
2020-04-28,MSNBC,40,Facemask
2020-04-28,BBCNEWS,100,Facemask
2020-04-28,FOXNEWS,62,Facemask
2020-04-28,CNN,179,Facemask
2020-04-29,MSNBC,124,Facemask
2020-04-29,FOXNEWS,84,Facemask
2020-04-29,CNN,455,Facemask
2020-04-29,BBCNEWS,72,Facemask
2020-04-30,CNN,1,Facemask
2020-04-30,FOXNEWS,737,Facemask
2020-04-30,MSNBC,127,Facemask
2020-04-30,BBCNEWS,100,Facemask
2020-04-30,KGO,10,Facemask
2020-05-01,CNN,234,Facemask
2020-05-01,FOXNEWS,431,Facemask
2020-05-01,BBCNEWS,141,Facemask
2020-05-01,MSNBC,18,Facemask
2020-05-01,KNTV,5,Facemask
2020-05-02,CNN,468,Facemask
2020-05-02,BBCNEWS,902,Facemask
2020-05-02,MSNBC,3,Facemask
2020-05-02,FOXNEWS,21,Facemask
2020-05-03,MSNBC,286,Facemask
2020-05-03,BBCNEWS,17,Facemask
2020-05-03,FOXNEWS,309,Facemask
2020-05-03,CNN,545,Facemask
2020-05-03,KGO,5,Facemask
2020-05-04,CNN,311,Facemask
2020-05-04,KGO,53,Facemask
2020-05-04,FOXNEWS,386,Facemask
2020-05-04,MSNBC,69,Facemask
2020-05-05,MSNBC,40,Facemask
2020-05-05,BBCNEWS,38,Facemask
2020-05-05,KPIX,4,Facemask
2020-05-05,CNN,39,Facemask
2020-05-05,FOXNEWS,200,Facemask
2020-05-06,CNN,335,Facemask
2020-05-06,BBCNEWS,12,Facemask
2020-05-06,MSNBC,281,Facemask
2020-05-06,FOXNEWS,131,Facemask
2020-05-07,CNN,80,Facemask
2020-05-07,KNTV,4,Facemask
2020-05-07,FOXNEWS,94,Facemask
2020-05-07,MSNBC,160,Facemask
2020-05-08,CNN,319,Facemask
2020-05-08,MSNBC,97,Facemask
2020-05-08,BBCNEWS,16,Facemask
2020-05-08,KNTV,1,Facemask
2020-05-08,FOXNEWS,160,Facemask
2020-05-09,CNN,244,Facemask
2020-05-09,MSNBC,52,Facemask
2020-05-09,FOXNEWS,6,Facemask
2020-05-10,BBCNEWS,3,Facemask
2020-05-10,MSNBC,202,Facemask
2020-05-10,KNTV,151,Facemask
2020-05-10,FOXNEWS,2,Facemask
2020-05-10,CNN,125,Facemask
2020-05-11,MSNBC,90,Facemask
2020-05-11,BBCNEWS,87,Facemask
2020-05-11,FOXNEWS,173,Facemask
2020-05-11,CNN,116,Facemask
2020-05-12,MSNBC,493,Facemask
2020-05-12,CNN,563,Facemask
2020-05-12,BBCNEWS,125,Facemask
2020-05-12,FOXNEWS,11,Facemask
2020-05-13,FOXNEWS,109,Facemask
2020-05-13,MSNBC,26,Facemask
2020-05-13,KNTV,4,Facemask
2020-05-13,CNN,206,Facemask
2020-05-14,BBCNEWS,30,Facemask
2020-05-14,CNN,180,Facemask
2020-05-14,FOXNEWS,103,Facemask
2020-05-14,KNTV,2,Facemask
2020-05-14,MSNBC,67,Facemask
2020-05-15,MSNBC,20,Facemask
2020-05-15,CNN,75,Facemask
2020-05-15,FOXNEWS,77,Facemask
2020-05-16,FOXNEWS,152,Facemask
2020-05-16,CNN,170,Facemask
2020-05-16,MSNBC,11,Facemask
2020-05-17,BBCNEWS,32,Facemask
2020-05-17,FOXNEWS,64,Facemask
2020-05-17,KPIX,1,Facemask
2020-05-17,MSNBC,83,Facemask
2020-05-17,CNN,4,Facemask
2020-05-18,MSNBC,30,Facemask
2020-05-18,FOXNEWS,32,Facemask
2020-05-18,BBCNEWS,2,Facemask
2020-05-18,CNN,156,Facemask
2020-05-19,BBCNEWS,25,Facemask
2020-05-19,MSNBC,97,Facemask
2020-05-19,CNN,18,Facemask
2020-05-19,FOXNEWS,34,Facemask
2020-05-20,KPIX,5,Facemask
2020-05-20,MSNBC,50,Facemask
2020-05-20,FOXNEWS,45,Facemask
2020-05-20,CNN,121,Facemask
2020-05-21,BBCNEWS,11,Facemask
2020-05-21,MSNBC,91,Facemask
2020-05-21,CNN,172,Facemask
2020-05-21,FOXNEWS,26,Facemask
2020-05-21,KPIX,1,Facemask
2020-05-22,FOXNEWS,4,Facemask
2020-05-22,KGO,1,Facemask
2020-05-22,CNN,361,Facemask
2020-05-22,BBCNEWS,119,Facemask
2020-05-22,MSNBC,10,Facemask
2020-05-23,CNN,474,Facemask
2020-05-23,MSNBC,661,Facemask
2020-05-23,FOXNEWS,100,Facemask
2020-05-23,BBCNEWS,11,Facemask
2020-05-24,KGO,2,Facemask
2020-05-24,MSNBC,17,Facemask
2020-05-24,CNN,261,Facemask
2020-05-24,FOXNEWS,186,Facemask
2020-05-24,BBCNEWS,8,Facemask
2020-05-25,BBCNEWS,2,Facemask
2020-05-25,FOXNEWS,117,Facemask
2020-05-25,MSNBC,40,Facemask
2020-05-25,CNN,168,Facemask
2020-05-26,CNN,257,Facemask
2020-05-26,MSNBC,701,Facemask
2020-05-26,FOXNEWS,226,Facemask
2020-05-27,BBCNEWS,2,Facemask
2020-05-27,FOXNEWS,96,Facemask
2020-05-27,MSNBC,446,Facemask
2020-05-27,KPIX,41,Facemask
2020-05-27,CNN,439,Facemask
2020-05-27,KNTV,15,Facemask
2020-05-28,FOXNEWS,33,Facemask
2020-05-28,KNTV,2,Facemask
2020-05-28,MSNBC,86,Facemask
2020-05-28,CNN,105,Facemask
2020-05-29,KNTV,48,Facemask
2020-05-29,FOXNEWS,33,Facemask
2020-05-29,CNN,35,Facemask
2020-05-29,MSNBC,15,Facemask
2020-05-30,FOXNEWS,23,Facemask
2020-05-30,MSNBC,2,Facemask
2020-05-30,CNN,60,Facemask
2020-05-31,FOXNEWS,47,Facemask
2020-05-31,BBCNEWS,22,Facemask
2020-05-31,MSNBC,8,Facemask
2020-05-31,CNN,11,Facemask
2020-06-01,MSNBC,11,Facemask
2020-06-01,CNN,4,Facemask
2020-06-01,BBCNEWS,272,Facemask
2020-06-01,FOXNEWS,73,Facemask
2020-06-02,BBCNEWS,70,Facemask
2020-06-02,MSNBC,19,Facemask
2020-06-02,FOXNEWS,52,Facemask
2020-06-02,CNN,21,Facemask
2020-06-03,FOXNEWS,57,Facemask
2020-06-03,MSNBC,19,Facemask
2020-06-03,KNTV,6,Facemask
2020-06-03,CNN,38,Facemask
2020-06-04,CNN,23,Facemask
2020-06-04,MSNBC,2,Facemask
2020-06-04,FOXNEWS,56,Facemask
2020-06-04,BBCNEWS,161,Facemask
2020-06-04,KPIX,10,Facemask
2020-06-05,BBCNEWS,340,Facemask
2020-06-05,CNN,28,Facemask
2020-06-05,MSNBC,14,Facemask
2020-06-05,KGO,2,Facemask
2020-06-05,FOXNEWS,31,Facemask
2020-06-06,MSNBC,91,Facemask
2020-06-06,BBCNEWS,2551,Facemask
2020-06-06,CNN,14,Facemask
2020-06-06,FOXNEWS,66,Facemask
